kA,kC,Rate
1,9,0.232239144501433
1,10,0.238498508730334
1,11,0.234435535270208
1,12,0.230594761968164
1,13,0.239500998876517
1,14,0.228837428398806
1,15,0.255088797248443
1,16,0.262452165361781
1,17,0.22141955663522
2,9,0.611657542229275
2,10,0.62723482460949
2,11,0.652804890503875
2,12,0.635970343190568
2,13,0.627011173582161
2,14,0.628188864861147
2,15,0.61108622594541
2,16,0.625850349800887
2,17,0.60746778558156
3,9,0.75781977213508
3,10,0.770831209654684
3,11,0.778569443400296
3,12,0.770341779911281
3,13,0.758995869448486
3,14,0.76274476409896
3,15,0.757316591946765
3,16,0.772644729140718
3,17,0.782599956876787
4,9,0.845273409071529
4,10,0.84803238208529
4,11,0.833781419482805
4,12,0.826907030248975
4,13,0.844499941331658
4,14,0.846112238605812
4,15,0.846715196097362
4,16,0.838356611329226
4,17,0.858097134873053
5,9,0.867757960959433
5,10,0.861696909842592
5,11,0.875392596314877
5,12,0.877402886116505
5,13,0.86800510873359
5,14,0.882783642852925
5,15,0.876710496121075
5,16,0.874137814206084
5,17,0.880108813299023
6,9,0.891309367261607
6,10,0.89651913845148
6,11,0.884686453164093
6,12,0.881438887262849
6,13,0.883950567157891
6,14,0.897681585872043
6,15,0.888720608276739
6,16,0.882752979555713
6,17,0.90068552844797
7,9,0.910003839990705
7,10,0.901378530847555
7,11,0.908522276860377
7,12,0.911554596220471
7,13,0.904635205045254
7,14,0.900671079605394
7,15,0.899071172988259
7,16,0.925648493128606
7,17,0.912092453194313
8,9,0.905806035477073
8,10,0.891200951300428
8,11,0.922077434502881
8,12,0.919755432469494
8,13,0.913035537610312
8,14,0.916526637417897
8,15,0.92904053755279
8,16,0.920762864119455
8,17,0.913898072363821
9,9,0.905637275904748
9,10,0.920304851669554
9,11,0.913210771001774
9,12,0.922983489461952
9,13,0.922814956503444
9,14,0.933986735030317
9,15,0.915102319591541
9,16,0.934750078489394
9,17,0.919223119531568
