LA,LC,Rate
1,9,0.93864672402335
1,10,0.898881097695625
1,11,0.807738950888569
1,12,0.684058223785422
1,13,0.526377753211104
1,14,0.313441461111875
1,15,0.102755070111367
1,16,0
1,17,0
2,9,0.934809947578789
2,10,0.896538402594629
2,11,0.813588679662938
2,12,0.693427449780528
2,13,0.529902344995993
2,14,0.308493609663271
2,15,0.0857636394947034
2,16,0
2,17,0
3,9,0.940209059847087
3,10,0.904994899224836
3,11,0.836291843941225
3,12,0.686332779130882
3,13,0.503233256820633
3,14,0.349693470231468
3,15,0.122973571459896
3,16,0
3,17,0
4,9,0.937088365688372
4,10,0.901844420089727
4,11,0.806264570103982
4,12,0.703038473546418
4,13,0.505759337729443
4,14,0.320417926451661
4,15,0.0809734930476653
4,16,0
4,17,0
5,9,0.928679356509419
5,10,0.897185690579137
5,11,0.808675538133335
5,12,0.685160258639026
5,13,0.528324431217996
5,14,0.320454433460975
5,15,0.0929990903538757
5,16,0
5,17,0
6,9,0.938171133776397
6,10,0.892331281571381
6,11,0.806767066831029
6,12,0.699764793032515
6,13,0.527561663477693
6,14,0.340925269032159
6,15,0.0930591760169461
6,16,0
6,17,0
7,9,0.935695893868606
7,10,0.906566109409994
7,11,0.812167651100214
7,12,0.699504916835244
7,13,0.528979124935829
7,14,0.308005851872289
7,15,0.0686625192045932
7,16,0
7,17,0
8,9,0.941663570797005
8,10,0.894487575621196
8,11,0.819576126204879
8,12,0.67246300779703
8,13,0.500093576713826
8,14,0.299778479510797
8,15,0.0848385012510744
8,16,0
8,17,0
9,9,0.921298408091734
9,10,0.88415858654145
9,11,0.805854717283092
9,12,0.66345563497596
9,13,0.480737820042452
9,14,0.321143855973432
9,15,0.0766315129924688
9,16,0
9,17,0
